_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
1405,4888798,2021,1958,2024,PRIVATE,19,Beaches-East York,1004 O'CONNOR DR,3,12,2024-06-17,93,93,0,37,3,3,3,N/A,N/A,2,N/A,3,3,1,N/A,3,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,1,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,S1921,43.70938295,-79.31032376,320069.997,4840843.37
1406,4155624,2017,1955,2025,TCHC,05,York South-Weston,1622 LAWRENCE AVE W,3,20,2025-11-04,84,84,0,41,3,1,3,1,2,2,3,3,1,2,N/A,N/A,3,3,2,2,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,2,2,1,3,3,N/A,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0526,43.70634404,-79.48988983,305599.298,4840487.469
1407,4155624,2017,1955,2023,TCHC,05,York South-Weston,1622 LAWRENCE AVE W,3,20,2023-08-31,91,91,0,40,3,3,3,2,3,3,3,3,2,3,N/A,N/A,3,3,2,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,1,2,2,N/A,3,N/A,1,2,3,3,2,2,1,3,3,3,3,3,3,3,3,3,W0526,43.70634404,-79.48988983,305599.298,4840487.469
1408,4154340,2017,1994,2025,SOCIAL HOUSING,05,York South-Weston,1630 LAWRENCE AVE W,8,100,2025-11-25,76,76,0,45,3,3,2,2,3,2,N/A,1,2,2,N/A,N/A,3,3,3,3,2,N/A,3,2,3,N/A,3,2,3,2,2,2,2,1,3,3,2,2,3,2,2,3,2,2,3,3,1,1,1,1,1,1,1,1,W0526,43.70616698,-79.49142501,305475.573,4840467.787
1409,4154340,2017,1994,2023,SOCIAL HOUSING,05,York South-Weston,1630 LAWRENCE AVE W,8,100,2023-08-31,87,87,0,44,3,3,3,3,3,3,N/A,3,3,2,N/A,N/A,3,3,3,3,2,N/A,3,3,2,N/A,N/A,2,3,2,1,2,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,1,1,3,W0526,43.70616698,-79.49142501,305475.573,4840467.787
1410,4154341,2017,1965,2024,PRIVATE,05,York South-Weston,1640 LAWRENCE AVE W,9,92,2024-07-29,79,79,0,47,3,2,2,2,2,2,2,3,2,2,2,N/A,3,3,2,3,2,2,3,3,2,N/A,N/A,2,3,2,3,2,2,2,3,3,3,3,2,2,2,3,3,3,2,3,3,1,1,1,1,1,1,1,W0526,43.70581597,-79.49295149,305352.55,4840428.784
1411,4154327,2017,1959,2024,PRIVATE,05,York South-Weston,1724 LAWRENCE AVE W,3,30,2024-07-24,90,90,0,41,3,3,2,N/A,N/A,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,2,N/A,3,3,3,2,2,3,3,N/A,2,3,3,3,3,3,3,3,1,1,1,1,3,1,3,1,W0528,43.70489087,-79.4973434,304998.33,4840326.957
1412,4154328,2017,1960,2023,PRIVATE,05,York South-Weston,1728 LAWRENCE AVE W,4,34,2023-08-31,89,89,0,39,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,2,2,N/A,3,3,1,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,3,W0528,43.70485223,-79.49768036,304971.172,4840322.663
1413,4154328,2017,1960,2025,PRIVATE,05,York South-Weston,1728 LAWRENCE AVE W,4,34,2025-10-24,90,90,0,41,3,3,3,3,3,2,3,3,3,3,N/A,3,3,3,3,2,3,N/A,3,2,3,N/A,N/A,3,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,3,3,3,3,3,3,3,2,3,3,3,1,1,1,3,W0528,43.70485223,-79.49768036,304971.172,4840322.663
1414,4154329,2017,1979,2023,PRIVATE,05,York South-Weston,1750 LAWRENCE AVE W,4,70,2023-09-14,96,96,0,44,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,1,1,3,W0528,43.70448245,-79.49843498,304910.354,4840281.583
1415,4154329,2017,1979,2025,PRIVATE,05,York South-Weston,1750 LAWRENCE AVE W,4,70,2025-10-24,96,96,0,46,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0528,43.70448245,-79.49843498,304910.354,4840281.583
1416,4154324,2017,1961,2024,PRIVATE,05,York South-Weston,1809 LAWRENCE AVE W,4,32,2024-07-24,99,99,0,42,3,3,3,N/A,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0528,43.70303803,-79.50140451,304671.015,4840121.117
1417,4156358,2017,1960,2024,PRIVATE,05,York South-Weston,2089 LAWRENCE AVE W,16,121,2024-08-14,82,83,-1,45,3,3,3,3,3,2,2,2,N/A,1,N/A,N/A,3,2,3,3,3,2,3,3,N/A,3,N/A,1,3,2,3,3,1,1,3,3,3,1,1,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,W0527,43.69926634,-79.51717541,303375.42,4839743.519
1418,4156359,2017,1960,2025,PRIVATE,05,York South-Weston,2099 LAWRENCE AVE W,16,121,2025-11-27,84,85,-1,43,3,3,N/A,N/A,3,2,3,3,N/A,3,N/A,N/A,3,3,3,2,2,3,N/A,3,1,3,N/A,1,3,2,3,2,1,1,3,2,2,3,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,W0527,43.6994541,-79.51776235,303330.156,4839728.712
1419,4156359,2017,1960,2023,PRIVATE,05,York South-Weston,2099 LAWRENCE AVE W,16,121,2023-08-02,90,90,0,42,3,2,2,N/A,N/A,2,2,3,N/A,2,N/A,N/A,3,3,3,3,2,3,3,3,N/A,N/A,N/A,2,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,W0527,43.6994541,-79.51776235,303330.156,4839728.712
1420,4153916,2017,1927,2025,PRIVATE,12,Toronto-St. Paul's,48 LAWTON BLVD,3,19,2025-09-29,77,77,0,37,2,3,2,N/A,3,2,N/A,3,2,2,N/A,N/A,3,1,2,3,N/A,N/A,3,3,1,N/A,N/A,3,3,N/A,N/A,N/A,1,2,3,N/A,3,N/A,1,2,3,1,1,3,2,3,1,3,3,1,1,3,3,3,S1232,43.69166703,-79.39620789,313151.182,4838862.974
1421,4153916,2017,1927,2023,PRIVATE,12,Toronto-St. Paul's,48 LAWTON BLVD,3,19,2023-10-16,82,82,0,40,2,2,3,2,3,2,N/A,3,2,2,N/A,3,3,3,3,3,N/A,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,1,2,3,3,3,N/A,1,2,3,3,2,3,2,3,2,1,1,1,1,1,1,1,S1232,43.69166703,-79.39620789,313151.182,4838862.974
1422,4153915,2017,1915,2025,PRIVATE,12,Toronto-St. Paul's,50 LAWTON BLVD,3,20,2025-09-29,70,70,0,37,2,3,N/A,N/A,3,1,N/A,2,2,2,N/A,N/A,3,1,2,2,2,N/A,3,2,1,N/A,N/A,3,3,N/A,N/A,N/A,1,1,3,N/A,3,N/A,1,2,3,2,1,3,2,2,1,3,3,1,1,3,3,3,S1232,43.69186328,-79.3961004,313143.397,4838889.911
1423,4153915,2017,1915,2023,PRIVATE,12,Toronto-St. Paul's,50 LAWTON BLVD,3,20,2023-07-13,89,89,0,40,3,3,3,2,3,1,N/A,3,3,3,N/A,N/A,3,2,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,2,3,3,3,3,N/A,2,2,3,2,3,3,3,3,1,3,3,3,3,3,3,3,S1232,43.69186328,-79.3961004,313143.397,4838889.911
1424,4153922,2018,1929,2025,PRIVATE,12,Toronto-St. Paul's,57 LAWTON BLVD,4,12,2025-10-01,73,73,0,35,3,2,2,N/A,N/A,2,N/A,1,3,2,N/A,N/A,3,1,2,2,2,N/A,3,2,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,2,1,2,N/A,3,N/A,2,2,2,2,2,3,1,3,2,1,3,1,3,3,3,3,S1232,43.6919566,-79.39570523,313191.661,4838895.195
1425,4153922,2018,1929,2023,PRIVATE,12,Toronto-St. Paul's,57 LAWTON BLVD,4,12,2023-08-11,87,87,0,36,3,3,3,N/A,N/A,3,N/A,3,3,3,N/A,N/A,3,3,2,2,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,2,3,3,N/A,2,2,3,1,2,3,3,3,3,3,3,3,1,1,1,3,S1232,43.6919566,-79.39570523,313191.661,4838895.195
1426,4153920,2017,1930,2023,PRIVATE,12,Toronto-St. Paul's,80 LAWTON BLVD,3,24,2023-07-20,85,85,0,36,3,3,2,N/A,N/A,2,N/A,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,2,3,3,N/A,2,3,2,1,3,3,3,3,2,1,1,1,2,1,3,2,S1232,43.69268186,-79.39681919,313101.766,4838975.668
1427,4153920,2017,1930,2025,PRIVATE,12,Toronto-St. Paul's,80 LAWTON BLVD,3,24,2025-09-30,86,86,0,35,3,3,2,N/A,N/A,2,N/A,3,2,1,N/A,N/A,3,3,3,3,2,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,2,3,N/A,3,N/A,3,3,3,2,2,3,3,3,1,1,3,1,3,3,3,3,S1232,43.69268186,-79.39681919,313101.766,4838975.668
1428,4153923,2017,1959,2024,PRIVATE,12,Toronto-St. Paul's,85 LAWTON BLVD,10,87,2024-07-29,95,95,0,45,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,1,3,1,3,3,3,3,S1232,43.6931212,-79.39633097,313141.061,4839024.529
1429,4153924,2017,1965,2023,PRIVATE,12,Toronto-St. Paul's,95 LAWTON BLVD,7,60,2023-07-10,90,90,0,45,3,3,3,3,3,2,3,3,2,3,N/A,N/A,3,3,2,2,3,N/A,3,3,3,N/A,N/A,3,3,3,3,2,2,2,1,3,3,3,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,S1232,43.693338,-79.39645643,313130.915,4839048.604
1430,4153924,2017,1965,2025,PRIVATE,12,Toronto-St. Paul's,95 LAWTON BLVD,7,60,2025-10-01,92,92,0,44,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,2,2,2,N/A,2,3,1,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,S1232,43.693338,-79.39645643,313130.915,4839048.604
1431,4153925,2017,1934,2025,PRIVATE,12,Toronto-St. Paul's,101 LAWTON BLVD,5,46,2025-10-01,87,88,-1,44,3,3,2,2,3,2,N/A,2,2,3,N/A,N/A,3,3,3,3,3,2,3,2,2,N/A,3,2,3,N/A,3,3,2,3,3,N/A,3,3,2,3,3,1,2,3,3,3,2,3,1,3,3,3,3,3,S1232,43.69369621,-79.39674356,313107.717,4839088.374
1432,4153925,2017,1934,2023,PRIVATE,12,Toronto-St. Paul's,101 LAWTON BLVD,5,46,2023-06-23,91,91,0,44,3,3,N/A,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,2,2,3,2,3,3,3,N/A,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,1,1,3,3,3,3,3,3,3,3,3,3,3,S1232,43.69369621,-79.39674356,313107.717,4839088.374
1433,4250636,2019,1957,2024,PRIVATE,12,Toronto-St. Paul's,111 LAWTON BLVD,13,152,2024-07-23,89,89,0,44,3,3,2,1,3,1,3,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,2,2,N/A,3,2,3,N/A,3,3,2,3,3,3,3,N/A,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,S1232,43.69410413,-79.39672387,313109.244,4839133.698
1434,4153926,2018,1962,2023,PRIVATE,12,Toronto-St. Paul's,125 LAWTON BLVD,12,122,2023-06-23,93,93,0,40,3,3,N/A,N/A,3,2,3,3,2,3,N/A,N/A,3,2,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,3,S1232,43.69456591,-79.39686325,313097.941,4839184.991
1435,4153926,2018,1962,2025,PRIVATE,12,Toronto-St. Paul's,125 LAWTON BLVD,12,122,2025-07-29,96,96,0,41,3,3,3,N/A,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,1,3,N/A,3,3,3,3,3,3,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1232,43.69456591,-79.39686325,313097.941,4839184.991
1436,4153921,2017,1955,2025,PRIVATE,12,Toronto-St. Paul's,134 LAWTON BLVD,4,42,2025-09-30,87,87,0,41,3,3,2,3,3,3,3,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,2,2,N/A,N/A,3,2,N/A,N/A,N/A,2,3,3,3,3,N/A,2,2,3,1,3,3,3,3,2,3,3,3,1,1,3,3,S1232,43.69433565,-79.39756028,313041.791,4839159.337
1437,4153921,2017,1955,2023,PRIVATE,12,Toronto-St. Paul's,134 LAWTON BLVD,4,42,2023-07-13,97,97,0,41,3,3,2,3,3,3,3,3,3,2,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,S1232,43.69433565,-79.39756028,313041.791,4839159.337
1438,4153927,2017,1960,2024,PRIVATE,12,Toronto-St. Paul's,135 LAWTON BLVD,9,48,2024-07-18,93,93,0,42,3,3,3,3,3,1,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,3,3,1,3,2,3,3,N/A,3,1,3,3,1,3,2,3,3,3,3,3,3,3,3,3,S1232,43.69490086,-79.39687829,313096.679,4839222.203
1439,5735857,2025,1967,2025,SOCIAL HOUSING,04,Parkdale-High Park,2 LAXTON AVE,4,52,2025-12-02,79,80,-1,38,3,2,1,N/A,3,1,3,3,3,3,N/A,N/A,3,3,1,3,3,N/A,1,3,N/A,N/A,N/A,1,3,N/A,N/A,N/A,2,3,2,N/A,3,N/A,1,2,3,1,3,3,3,3,1,3,3,3,3,1,3,3,S0436,43.63973059,-79.43784173,309799.5,4833088.79
1440,4153022,2017,1953,2023,TCHC,04,Parkdale-High Park,3 LAXTON AVE,8,42,2023-08-14,86,86,0,43,3,3,2,N/A,3,2,3,3,3,2,N/A,N/A,3,1,2,3,3,N/A,3,3,N/A,N/A,N/A,2,3,3,3,3,3,3,1,3,3,2,3,3,3,1,2,3,3,3,2,3,3,1,3,1,3,3,S0436,43.63914651,-79.43773772,309807.939,4833023.91
1441,4153022,2017,1953,2025,TCHC,04,Parkdale-High Park,3 LAXTON AVE,8,42,2025-06-16,97,97,0,44,3,2,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S0436,43.63914651,-79.43773772,309807.939,4833023.91
1442,5361285,2023,1951,2024,PRIVATE,15,Don Valley West,39 LEACREST RD,3,10,2024-08-19,86,86,0,36,2,3,N/A,N/A,3,2,N/A,3,3,2,N/A,N/A,3,1,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,3,2,2,N/A,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,N1535,43.69704085,-79.36534972,315637.787,4839463.629
1443,4155441,2017,1962,2025,PRIVATE,01,Etobicoke North,39 LEDUC DR,3,13,2025-11-20,43,43,0,44,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,1,3,3,0,N/A,3,3,0,N/A,N/A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W0130,43.71838399,-79.55794153,300115.746,4841826.716
1444,4155441,2017,1962,2023,PRIVATE,01,Etobicoke North,39 LEDUC DR,3,13,2023-07-10,88,88,0,39,2,2,3,N/A,N/A,2,3,3,2,2,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,2,3,3,3,N/A,3,2,3,3,2,3,3,3,3,1,3,3,3,1,3,3,W0130,43.71838399,-79.55794153,300115.746,4841826.716
1445,4255508,2018,1955,2024,PRIVATE,19,Beaches-East York,55 LEE AVE,3,12,2024-06-27,89,89,0,38,3,2,3,N/A,N/A,3,3,2,3,3,N/A,N/A,3,3,3,1,3,N/A,3,2,3,N/A,N/A,2,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,3,1,3,2,3,3,3,1,3,3,1,3,1,S1942,43.66918777,-79.29715549,321142.042,4836380.305
1446,4153685,2017,1917,2024,PRIVATE,19,Beaches-East York,97 LEE AVE,3,10,2024-10-03,77,77,0,37,3,3,3,3,N/A,3,1,3,3,3,N/A,N/A,1,1,N/A,N/A,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,1,3,3,3,3,0,0,0,0,0,0,0,0,S1939,43.67110801,-79.29799232,321074.04,4836593.47
1447,4156131,2017,1966,2024,PRIVATE,17,Don Valley North,24 LEITH HILL RD,16,224,2024-09-18,88,88,0,45,3,2,3,3,3,2,3,1,3,3,3,N/A,3,2,3,3,3,N/A,N/A,2,N/A,N/A,3,2,3,1,3,3,2,2,3,3,3,3,1,2,3,3,2,3,3,3,3,3,3,1,3,3,3,3,N1727,43.77717962,-79.34992381,316922.679,4848356.009
1448,4154822,2017,1969,2024,PRIVATE,17,Don Valley North,25 LEITH HILL RD,15,147,2024-09-30,84,84,0,44,3,3,2,2,3,2,3,1,3,2,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,N/A,1,3,2,3,3,3,3,3,1,3,3,1,2,3,3,2,3,3,2,3,3,2,3,3,3,3,3,N1727,43.77638344,-79.34958287,316892.719,4848280.297
1449,4154826,2017,1965,2025,PRIVATE,17,Don Valley North,34 LEITH HILL RD,11,231,2025-07-29,93,93,0,45,3,3,3,3,3,2,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,N/A,2,3,3,N/A,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,1,3,3,1,3,3,N1727,43.77772548,-79.34897819,316941.141,4848429.475
1450,4154826,2017,1965,2023,PRIVATE,17,Don Valley North,34 LEITH HILL RD,11,231,2023-09-21,96,96,0,45,3,3,2,2,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,N/A,3,3,3,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,N1727,43.77772548,-79.34897819,316941.141,4848429.475
1451,4153416,2017,1960,2025,SOCIAL HOUSING,11,University-Rosedale,25 LEONARD AVE,6,77,2025-08-20,65,66,-1,41,2,1,2,N/A,3,1,2,3,N/A,2,N/A,N/A,3,3,1,1,3,3,1,2,N/A,N/A,1,N/A,3,N/A,3,1,1,1,1,1,3,N/A,1,2,1,1,3,3,1,3,1,3,3,3,3,1,3,3,S1143,43.65381745,-79.40412163,312518.031,4834657.24
1452,4153416,2017,1960,2023,SOCIAL HOUSING,11,University-Rosedale,25 LEONARD AVE,6,77,2023-09-05,86,86,0,43,2,3,2,3,3,2,3,3,N/A,3,3,3,3,2,3,3,3,N/A,2,2,N/A,N/A,N/A,N/A,3,2,3,2,2,3,3,2,3,N/A,1,2,3,3,2,2,2,3,3,3,1,3,3,1,3,3,S1143,43.65381745,-79.40412163,312518.031,4834657.24
1453,5251786,,,2023,PRIVATE,19,Beaches-East York,98 LEUTY AVE,3,15,2023-09-29,60,60,0,34,3,1,N/A,N/A,N/A,1,N/A,3,1,1,N/A,3,3,2,1,1,2,N/A,3,2,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1,1,2,N/A,N/A,N/A,1,3,3,1,1,2,1,3,1,2,1,1,1,1,1,1,S1942,43.67050277,-79.29670257,321178.208,4836526.488
1454,5251786,,,2025,PRIVATE,19,Beaches-East York,98 LEUTY AVE,3,15,2025-12-11,82,82,0,35,2,2,N/A,N/A,N/A,2,N/A,3,2,3,N/A,3,3,1,3,2,2,N/A,2,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,2,2,N/A,3,N/A,3,2,3,3,2,2,3,3,2,3,1,3,3,2,3,1,S1942,43.67050277,-79.29670257,321178.208,4836526.488
1455,4153553,2017,1987,2025,SOCIAL HOUSING,14,Toronto-Danforth,58 LEWIS ST,4,15,2025-10-02,91,91,0,36,3,2,3,N/A,N/A,3,2,3,3,2,N/A,N/A,3,3,2,2,3,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1440,43.65788223,-79.34839547,317012.287,4835115.549
1456,4153553,2017,1987,2023,SOCIAL HOUSING,14,Toronto-Danforth,58 LEWIS ST,4,15,2023-06-23,94,94,0,38,3,3,2,3,3,2,N/A,3,2,3,N/A,N/A,3,3,3,2,3,N/A,2,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,1,3,3,3,N/A,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,S1440,43.65788223,-79.34839547,317012.287,4835115.549
1457,5495823,2024,2019,2025,PRIVATE,12,Toronto-St. Paul's,44 LILLIAN ST,25,296,2025-07-24,98,98,0,48,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,S1228,43.70578682,-79.39373529,313339.84,4840457.778
1458,4156548,2017,2010,2025,PRIVATE,12,Toronto-St. Paul's,65 LILLIAN ST,10,141,2025-11-12,92,92,0,45,3,3,3,2,1,3,3,3,N/A,3,N/A,N/A,3,3,3,3,N/A,N/A,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,S1228,43.7061847,-79.39322488,313389.587,4840476.209
1459,4156548,2017,2010,2023,PRIVATE,12,Toronto-St. Paul's,65 LILLIAN ST,10,141,2023-07-20,95,95,0,47,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,1,3,S1228,43.7061847,-79.39322488,313389.587,4840476.209
1460,4154250,2017,1962,2023,PRIVATE,07,Humber River-Black Creek,137 LINDYLOU RD,7,114,2023-10-20,94,94,0,43,3,3,3,3,3,2,N/A,3,3,2,N/A,N/A,3,2,3,3,2,N/A,3,3,N/A,N/A,N/A,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0727,43.74889055,-79.55041442,300694.746,4845165.695
1461,4154250,2017,1962,2025,PRIVATE,07,Humber River-Black Creek,137 LINDYLOU RD,7,114,2025-11-02,98,98,0,42,3,3,3,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0727,43.74889055,-79.55041442,300694.746,4845165.695
1462,4155730,2017,2010,2024,PRIVATE,09,Davenport,45 LISGAR ST,14,291,2024-08-15,89,89,0,40,3,3,N/A,N/A,N/A,2,3,2,N/A,2,N/A,N/A,3,3,2,2,3,N/A,3,2,N/A,N/A,3,2,3,3,3,3,2,2,3,3,N/A,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S0937,,,311015.908,4833355.956
1463,4155710,2017,2005,2024,PRIVATE,09,Davenport,55 LISGAR ST,9,116,2024-08-14,90,90,0,43,3,3,N/A,N/A,3,2,2,2,3,3,N/A,N/A,3,3,2,2,3,3,3,2,N/A,N/A,3,2,3,3,3,3,2,2,3,3,N/A,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S0937,43.64262798,-79.42302426,310994.457,4833412.558
1464,4152805,2017,1966,2023,PRIVATE,24,Scarborough-Guildwood,45 LIVINGSTON RD,16,188,2023-09-13,85,85,0,42,3,3,3,N/A,3,2,3,2,3,3,N/A,N/A,3,3,3,3,3,N/A,N/A,2,N/A,N/A,N/A,2,3,2,3,2,2,2,3,3,3,3,2,2,3,3,2,3,3,3,1,1,1,1,1,1,1,3,E2435,43.74300133,-79.19697152,329191.427,4844604.167
1465,4152805,2017,1966,2025,PRIVATE,24,Scarborough-Guildwood,45 LIVINGSTON RD,16,188,2025-11-10,89,90,-1,44,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,1,3,3,3,N/A,N/A,3,3,N/A,N/A,3,3,3,3,3,2,3,2,2,3,3,1,3,2,3,3,3,2,3,1,3,1,3,3,1,1,3,E2435,43.74300133,-79.19697152,329191.427,4844604.167
