_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
134,4154489,2017,1959,2023,PRIVATE,08,Eglinton-Lawrence,771 LAWRENCE AVE W,3,10,2023-09-22,77,77,0,41,3,3,2,N/A,1,1,2,2,1,3,N/A,3,3,3,3,2,2,N/A,1,1,2,N/A,N/A,3,3,N/A,N/A,N/A,3,2,3,1,2,N/A,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,3,N0827,43.7140446,-79.45260206,308603.672,4841344.884
135,4154489,2017,1959,2025,PRIVATE,08,Eglinton-Lawrence,771 LAWRENCE AVE W,3,10,2025-08-11,80,80,0,36,2,2,2,N/A,N/A,1,1,2,2,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,1,3,N/A,N/A,N/A,2,2,2,N/A,N/A,N/A,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,N0827,43.7140446,-79.45260206,308603.672,4841344.884
136,4154488,,1959,2024,PRIVATE,08,Eglinton-Lawrence,773 LAWRENCE AVE W,3,10,2024-07-03,57,57,0,34,2,3,N/A,N/A,N/A,1,1,1,1,2,N/A,N/A,1,3,1,1,N/A,N/A,2,1,N/A,N/A,N/A,1,3,N/A,N/A,N/A,1,1,3,N/A,N/A,N/A,1,1,3,1,1,3,1,3,3,1,1,1,3,1,3,3,N0827,43.71397171,-79.4529275,308577.452,4841336.772
137,4155891,2017,1958,2024,PRIVATE,08,Eglinton-Lawrence,775 LAWRENCE AVE W,3,10,2024-08-09,90,90,0,39,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,1,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,3,N0827,43.71389863,-79.45325977,308550.681,4841328.638
138,4154487,2018,1961,2024,PRIVATE,08,Eglinton-Lawrence,777 LAWRENCE AVE W,3,10,2024-09-16,90,90,0,38,3,3,N/A,N/A,3,1,3,3,3,3,N/A,N/A,3,2,3,3,2,N/A,2,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,2,1,1,1,3,1,1,3,N0827,43.71383169,-79.45359547,308523.633,4841321.187
139,4154493,2017,1967,2024,PRIVATE,08,Eglinton-Lawrence,1049 LAWRENCE AVE W,3,20,2024-08-21,87,88,-1,38,3,2,N/A,N/A,2,2,3,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,N0826,43.71254434,-79.46045013,307970.05,4841184.777
140,4154497,2017,1965,2023,PRIVATE,08,Eglinton-Lawrence,1079 LAWRENCE AVE W,3,15,2023-10-06,73,73,0,40,3,3,2,N/A,3,2,3,2,2,3,3,N/A,3,3,2,3,0,N/A,3,3,0,N/A,N/A,2,3,N/A,N/A,N/A,2,2,2,N/A,3,N/A,2,3,1,2,3,3,3,3,0,0,0,0,0,0,0,0,N0826,43.71196575,-79.46276239,307785.025,4841113.531
141,4154497,2017,1965,2025,PRIVATE,08,Eglinton-Lawrence,1079 LAWRENCE AVE W,3,15,2025-09-25,92,92,0,40,3,3,N/A,3,3,2,3,2,2,2,3,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N0826,43.71196575,-79.46276239,307785.025,4841113.531
142,4154498,2017,1958,2024,PRIVATE,08,Eglinton-Lawrence,1111 LAWRENCE AVE W,3,15,2024-07-26,96,96,0,36,3,3,N/A,N/A,3,2,3,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N0826,43.71184832,-79.46344795,307729.784,4841100.462
143,4154309,2017,1958,2024,PRIVATE,05,York South-Weston,1252 LAWRENCE AVE W,3,10,2024-09-04,89,89,0,36,3,3,3,N/A,N/A,2,N/A,2,3,2,N/A,N/A,N/A,1,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,2,3,N/A,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0523,43.71084878,-79.4707221,307143.633,4840989.2
